X	X	X	X	X
X	X	X	0	0
X	X	0	0	0
X	X	0	0	0
X	0	0	0	0
X	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
X	X	0	0	3
X	X	0	3	0
X	X	0	3	0
X	X	3	0	0
X	0	0	0	1
X	0	0	0	1
X	0	0	0	3
0	0	0	0	1
0	0	0	0	1
0	0	0	0	1
0	0	0	0	1
0	0	0	0	1
0	0	3	0	0
0	0	3	0	0
0	3	0	0	0
0	3	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
3	0	0	0	0
X	3	0	3	0
X	3	3	0	0
0	0	1	3	0
0	0	1	3	0
0	0	3	3	0
0	0	3	3	0
0	3	0	3	0
0	3	0	3	0
0	3	0	3	0
0	3	0	3	0
1	0	0	1	0
1	1	0	0	0
1	3	0	0	0
3	0	0	0	1
3	0	0	0	1
X	X	0	3	3
0	0	1	3	3
0	3	0	3	3
0	3	0	3	3
0	3	3	3	0
0	3	3	3	0
0	3	3	3	0
0	3	3	3	0
1	0	1	0	1
1	0	1	1	0
1	0	1	3	0
1	1	0	3	0
1	3	0	3	0
1	3	0	3	0
1	3	0	3	0
3	0	0	3	3
3	0	1	0	1
3	0	1	0	1
3	3	0	0	3
3	3	0	3	0
3	3	3	0	0
3	3	3	0	0
3	3	3	0	0
1	1	1	0	3
3	3	0	3	3
3	3	0	3	3
3	3	0	3	3
3	3	3	3	0
X	X	X	3	3
X	X	3	3	3
X	3	3	3	3
3	3	1	3	3
3	3	3	3	3
3	3	3	3	3
0	0	0	0	4
0	0	0	0	4
0	4	0	3	3
4	3	3	0	0
4	3	3	0	0
0	3	4	3	3
0	3	4	3	3
1	4	0	3	1
1	4	3	3	0
1	4	3	3	0
1	4	3	3	0
1	4	3	3	0
1	4	1	3	1
3	3	4	3	3
4	3	3	3	3
4	3	3	3	3
4	3	3	3	3
X	3	4	3	3
4	3	4	0	0
4	3	4	0	0
4	3	4	0	0
1	4	4	3	0
1	4	4	3	0
1	4	4	3	0
1	4	4	3	0
4	4	3	3	0
4	4	3	3	0
4	4	3	3	0
4	4	4	3	0
4	4	4	3	0
4	4	4	3	4
